"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"9TS7GUT6","conferencePaper","2018","Cattáneo, R.; Izeta, A.D.","¿Es posible una arqueología digital en Argentina? Un acercamiento desde la práctica","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","","El objetivo general de este trabajo es reflexionar acerca del rol que ocupa el uso de la Informática y de los medios digitales en el marco de una arqueología definida como digital y pública. Para ello se torna indispensable conocer el estado de la cuestión en cuanto al uso de medios digitales (para crear, analizar, almacenar, conservar y reutilizar, como medio para la comunicación entre diversos grupos de intierés). En este sentido, y tomando como ejemplo un caso de aplicación (el Programa de Arqueología Digital (PAD) del Museo de Antropología), se evalúan las bases sobre las cuales se pueden desarrollar una arqueología digital com parte de una estrategia más global incluida en lo que hoy reconocemos como arqueología pública. Las acciones emanadas de organismos estatales (universidades, centros de investigación, organismos científicos en general) y el marco legal vigente darán un mayor impulso a las acciones implementadas por el PAD y otras iniciativas similares implementadas en diversas geografías argentinas.","2018","2024-09-02 17:03:07","2024-09-02 17:03:07","","(73-84)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","ZSCC: 0000006[s0]  Citation Key: Cattaneo.Izeta2018Es","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","","","","","","","","","","","","","",""
"BPB96ISW","conferencePaper","2018","Cataldi, M.; Di Césare, V.; Fernández, N.; Fernández, A.; Liberatore, G.; Voutto, A.","Sistema taxonómico de organización de los recursos de información autoarchivados en el Repositorio Institucional de la Facultad de Humanidades de la Universidad Nacional de Mar del Plata","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","","sumen Se presenta un sistema de organización del conocimiento (SOC) diseñado bajo la estructura de una taxonomía para ser aplicado al Repositorio Institucional de la Facultad de Humanidades de la Universidad Nacional de Mar del Plata (Humadoc, UNMdP). Para su construcción se utilizó la metodología del análisis de facetas con el fin de obtener una estructura que represente la complejidad y diversidad que, desde el punto de vista de la organización, presenta la generación de las distintas tipologías documentales que potencialmente serán autoarchivadas. Al mismo tiempo, se propone que esta herramienta se traduzca en un instrumento de consulta y navegación de las distintas colecciones a partir de la integración de un conjunto de metadatos diseñados para tal fin. Finalmente, se exponen algunas de las problemáticas que se presentan en el diseño e implementación de este tipo de SOC en entornos institucionales multidisciplinares.","2018","2024-09-02 17:03:02","2024-09-02 17:03:02","","(501-513)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","ZSCC: NoCitationData[s0]  Citation Key: Cataldi.etal2018Sistema","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","","","","","","","","","","","","","",""
"IW27XTH4","webpage","2019","Caruda, Carmen Torrijos","La lingüística computacional, el campo donde se unen las ciencias y las letras","EL PAÍS RETINA","","","","https://retina.elpais.com/retina/2019/01/15/tendencias/1547545169_410011.html","Cuando imaginamos laboratorios donde se desarrollan sistemas de inteligencia artificial pensamos en ingenieros y científicos. Pero pocas veces pensamos en los lingüistas, los psicólogos o incluso los filósofos. Así colaboran.","2019-01-17","2024-09-02 17:02:52","2024-09-02 17:02:52","2019-06-28 13:37:28","","","","","","","","","","","","","","es","","","","","","","00000 Citation Key: Caruda2019linguistica","","","","#nosource","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"N5M3X86Q","conferencePaper","2018","Bugnone, A.; Santamaría, M.","La política de democratización del archivo: el caso del Centro de Arte Experimental de Vigo","Humanidades Digitales. Construcciones locales en contexto. Actas del I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","978-987-40-1997-4","","","","En este trabajo se presentará la política de democratización del archivo a través de la digitalización y circulación de sus documentos que lleva a cabo el Centro de Arte Experimental Vigo. Este Centro resguarda el archivo que contiene un enorme acervo documental de la obra del artista argentino Edgardo Antonio Vigo (1928-1997), así como de otros artistas de Argentina y el mundo. Desde 2013 se inició un proceso de digitalización de parte del fondo documental, especialmente pensado para ofrecerlo como fuente de investigación y al mismo tiempo como preservación digital. La puesta en línea de los documentos personales de Vigo, sus ediciones y otros documentos del archivo forman parte de la socialización y accesibilidad de este material para que pueda ser consultado a través de la web por los investigadores interesados en el tema. Este proceso involucra, sin embargo, un desafío al funcionamiento tradicional del archivo, donde queda al descubierto la complejidad de la apertura y democratización digital del archivo. Esto nos ha llevado a concebirlo como un archivo abierto a porvenir, al mismo tiempo que la democratización, puede ser pensada como una forma de redistribución de lo sensible El acceso a los documentos digitalizados es gratis y libre de restricciones. Asimismo, para ampliar el alcance y el acceso a los documentos digitalizados, los mismos pueden ser consultados no solo a través de la web de la institución sino de otras plataformas que forman parte de la Universidad Nacional de La Plata. Lejos de considerar al archivo como un espacio cerrado y limitado, la política llevada a cabo por la institución permite que investigadores y personas interesadas de todo el mundo accedan a la valiosa información contenida en sus documentos.","2018","2024-09-02 17:02:40","2024-09-02 17:02:40","","(549-558)","","","1","","","","","","","","Universidad de Buenos Aires. Editorial de la Facultad de Filosofía y Letras","Buenos Aires","Español","","","","","","","ZSCC: 0000000[s0]  Citation Key: Bugnone.Santamaria2018politica","","","","#nosource","","Río Riande, G. del; Calarco, G.; Striker, G.; León, R. de","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","I Congreso Internacional de la Asociación Argentina de Humanidades Digitales - AAHD","","","","","","","","","","","","","","",""
"BH6TVZ63","journalArticle","2005","Brun, Eito","Lenguajes de marcado y archivos digitales","El profesional de la Información","","","10/d6cd89","http://www.elprofesionaldelainformacion.com/contenidos/2005/noviembre/4.pdf","Se presentan las principales características de los vocabularios basados en xml, EAD y EAC, utilizados para la codificación de descripciones de documentos de archivo y re- gistros de autoridad en formato electrónico. Se ha definido la relación existente entre ambos y las normas ISAD(G) e Isaar(CPF)","2005","2024-09-02 17:02:34","2024-09-02 17:02:34","","423-434","","6","14","","","","","","","","","","","","","","","","","Citation Key: Brun2005Lenguajesa","","","","#nosource; EAC; EAD; XML","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"STCIBGXM","newspaperArticle","2011","Borràs, Laura","Las humanidades serán digitales, o no serán","La Vanguardia","","","","http://www.lavanguardia.com/libros/20110331/54134758802/laura-borras-las-humanidades-seran-digitales-o-no-seran.html","","2011","2024-09-02 17:02:14","2024-09-02 17:02:14","","","","","","","","","","","","","","Barcelona","","","","","","","","00000 Citation Key: Borras2011humanidades","","","","#nosource; humanidades digitales","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TA96WFF4","bookSection","2014","Baraibar, Álvaro","Las Humanidades Digitales desde sus centros y periferias","Las Humanidades Digitales: una aproximación transdisciplinar","","","","http://www.janusdigital.es/anexos/contribucion.htm?id=42","","2014","2024-09-02 17:01:55","2024-09-02 17:01:55","","7-15","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","Citation Key: Baraibar2014Humanidadesb","","","","#nosource","","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9WMB83G4","book","2014","","Humanidades Digitales: una aproximación transdisciplinar","","","","","http://www.janusdigital.es/fa/4656756780959093003595388/anexo2janus_completo_pub.pdf","","2014","2024-09-02 17:01:50","2024-09-02 17:01:50","","","","","","","","","","","","","SIELAE","A Coruña","","","","","","","","Citation Key: Baraibar2014Humanidades","","","","#nosource","","Baraibar, Álvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"AWQBDA6I","book","2014","","Visibilidad y divulgación de la investigación desde las Humanidades Digitales. Experiencias y proyectos","","978-84-8081-412-6","","","http://www.unav.edu/publicacion/biblioteca-aurea-digital/BIADIG-22","El presente trabajo reúne iniciativas, proyectos y experiencias interesantes en los diferentes planos de este amplio contexto de la visibilidad y la difusión de la investigación en el ámbito de las Humanidades. En él se pone en común distintas experiencias, se comparte conocimientos y se da a conocer otras iniciativas, ya que en este campo de las Humanidades Digitales el valor ejemplarizante de los proyectos es muy importante. Así, el libro se ha organizado en cuatro áreas diferentes con su propia personalidad, pero vinculadas, como no podía ser de otro modo, entre sí: «Blogging académico, visibilidad y difusión de la investigación», «Revistas digitales», «Edición digital» y «Divulgación y Bibliotecas digitales».","2014","2024-09-02 17:01:46","2024-09-02 17:01:46","","","","","","","","","Biblioteca Áurea Digital","22","","","Servicio de Publicaciones de la Universidad de Navarra","","esp","","","","","","","00000 Citation Key: Baraibar2014Visibilidada","","","","#nosource; humanidades digitales; experiencias; proyectos","","Baraibar, Alvaro","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"66CC8JCM","blogPost","2013","Baraibar, Alvaro","Buenos tiempos para las Humanidades Digitales en español","","","","","http://dhd2013.filos.unam.mx/porvistadeojos/2013/05/20/buenos-tiempos-para-las-humanidades-digitales-en-espanol/","","2013-05-20","2024-09-02 17:01:40","2024-09-02 17:01:40","","","","","","","","","","","","","","","Español","","","","","","","ZSCC: 0000005 Citation Key: Baraibar2013Buenosa","","","","#nosource; humanidades digitales; Congresos","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
